iter	RMSE
0	1.156489632
1	1.060711226
2	0.9757256594
3	0.900351693
4	0.8340228434
5	0.7757780528
6	0.724302288
7	0.6800311033
8	0.6407989962
9	0.6068529282
10	0.5775975182
11	0.5526276848
12	0.5311446378
13	0.5128577174
14	0.4973869072
15	0.4840829524
16	0.4726861547
17	0.4635402319
18	0.4554948329
19	0.4488612571
20	0.4431480012
21	0.4385050326
22	0.4345532349
23	0.4308915223
24	0.4280873476
25	0.4254387604
26	0.4233797488
27	0.4216138191
28	0.4200398304
29	0.418265325
30	0.4170978183
31	0.4158855724
32	0.41471867
33	0.4139043592
34	0.413144797
35	0.4124923892
36	0.4118498206
37	0.4111751757
38	0.4107938621
39	0.4102278793
40	0.4095885072
41	0.4091854008
42	0.4086349299
43	0.4082419714
44	0.4078080555
45	0.407500233
46	0.407119558
47	0.4068542993
48	0.4065305608
49	0.4062300432
50	0.4058264126
51	0.4055560589
52	0.4052885897
53	0.4049831106
54	0.404819555
55	0.404396645
56	0.4040889835
57	0.403951126
58	0.403775262
59	0.4036288711
60	0.4034960589
61	0.4032203916
62	0.4030459755
63	0.4028748371
64	0.4027201811
65	0.4025332475
66	0.402344953
67	0.4021143796
68	0.4018325384
69	0.4016941024
70	0.401540815
71	0.4013648695
72	0.400988872
73	0.4007663019
74	0.4006182633
75	0.4003873168
76	0.4002710042
77	0.4000531656
78	0.3998701643
79	0.3997525175
80	0.3996300615
81	0.3994469331
82	0.399282871
83	0.3991111641
84	0.3989337351
85	0.3987757491
86	0.398686371
87	0.398542124
88	0.3983329797
89	0.3982159706
90	0.3980834353
91	0.3978470645
92	0.397743855
93	0.3976586733
94	0.3975125936
95	0.3974057598
96	0.3972893686
97	0.3971567792
98	0.397077404
99	0.3968703187
