iter	Passed	Remaining
0	76	7601
1	149	7332
2	205	6641
3	258	6209
4	312	5944
5	366	5744
6	419	5569
7	470	5408
8	520	5267
9	572	5156
10	626	5070
11	676	4960
12	725	4856
13	774	4757
14	830	4704
15	884	4642
16	935	4567
17	985	4488
18	1039	4431
19	1090	4363
20	1140	4291
21	1190	4219
22	1244	4166
23	1301	4122
24	1350	4050
25	1399	3983
26	1454	3932
27	1506	3874
28	1555	3807
29	1609	3755
30	1678	3736
31	1749	3717
32	1805	3665
33	1855	3602
34	1908	3544
35	1964	3492
36	2016	3434
37	2072	3381
38	2126	3325
39	2183	3274
40	2236	3217
41	2292	3166
42	2346	3110
43	2400	3055
44	2454	2999
45	2512	2949
46	2565	2893
47	2623	2841
48	2677	2786
49	2727	2727
50	2786	2677
51	2840	2622
52	2900	2572
53	2956	2518
54	3011	2463
55	3064	2407
56	3117	2351
57	3173	2297
58	3227	2242
59	3285	2190
60	3340	2135
61	3399	2083
62	3455	2029
63	3509	1973
64	3566	1920
65	3620	1865
66	3687	1816
67	3751	1765
68	3807	1710
69	3861	1654
70	3918	1600
71	3973	1545
72	4022	1487
73	4074	1431
74	4133	1377
75	4189	1322
76	4243	1267
77	4298	1212
78	4354	1157
79	4409	1102
80	4463	1046
81	4517	991
82	4571	936
83	4629	881
84	4681	826
85	4733	770
86	4787	715
87	4839	659
88	4897	605
89	4952	550
90	5010	495
91	5059	439
92	5110	384
93	5166	329
94	5220	274
95	5277	219
96	5336	165
97	5395	110
98	5449	55
99	5505	0
